"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"PPPC102LFBN-RC","Sullins Connector Solutions","S6106-ND","","H2","Tray","Active","1","1.26000","$1.26","13888","4 Weeks","CONN HDR 20POS 0.1 GOLD PCB","RoHS Compliant","Lead free","REACH Unaffected",""
"SBH11-PBPC-D08-ST-BK","Sullins Connector Solutions","S9171-ND","","H1","Tray","Active","1","0.42000","$0.42","9138","4 Weeks","CONN HEADER VERT 16POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"35PM2A","Switchcraft Inc.","SC1456-ND","","J1,J2,J3,J4,J5,J6","Bulk","Active","6","3.16000","$18.96","4212","12 Weeks","CONN JACK MONO 3.5MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected",""
"GS-830","Global Specialties","BKGS-830-ND","","A1,A2","Bulk","Active","2","8.78000","$17.56","1485","6 Weeks","BREADBRD TERM STRIP 6.50X2.13""","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"5006","Keystone Electronics","36-5006-ND","","TP1,TP2,TP3","Bulk","Active","3","0.35000","$1.05","176606","6 Weeks","PC TEST POINT COMPACT BLACK","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
